Hour,Minute,Second,Millisecond,Time,Price
12,13,30,133,13:30.1,39.83
9,19,31,417,19:31.4,45.29
11,16,23,348,16:23.3,45.24
10,29,54,810,29:54.8,48.72
9,0,4,116,00:04.1,46.1
9,14,36,177,14:36.2,45.33
11,36,40,741,36:40.7,43.07
16,11,26,82,11:26.1,44.15
14,1,30,256,01:30.3,39.24
11,32,15,649,32:15.6,43.15
12,10,50,614,10:50.6,40.6
15,20,11,658,20:11.7,44.37
10,9,11,662,09:11.7,47.03
14,19,40,645,19:40.6,40.8
12,51,20,959,51:21.0,40.4
9,53,29,814,53:29.8,45.12
10,11,15,935,11:15.9,47.15
10,32,37,289,32:37.3,47.09
14,57,19,972,57:20.0,43.71
12,17,0,647,17:00.6,39.31
16,12,53,374,12:53.4,43.43
10,38,11,293,38:11.3,45.96
16,31,32,211,31:32.2,42.53
14,28,40,696,28:40.7,42.05
14,12,28,222,12:28.2,39.6
15,51,52,622,51:52.6,42.29
11,2,15,730,02:15.7,45.64
12,36,7,461,36:07.5,39.19
12,13,30,69,13:30.1,39.87
10,4,51,991,04:52.0,45.85
14,49,39,809,49:39.8,44.01
10,53,1,898,53:01.9,44.97
10,31,13,732,31:13.7,47.75
15,7,19,517,07:19.5,41.87
11,56,23,425,56:23.4,42.85
16,6,34,784,06:34.8,43.09
12,1,31,434,01:31.4,40.44
16,56,21,442,56:21.4,44.39
16,23,31,931,23:31.9,42.54
11,37,12,85,37:12.1,43.11
11,47,54,404,47:54.4,43.01
9,28,14,466,28:14.5,45.91
9,41,4,130,41:04.1,44.84
15,46,17,479,46:17.5,42.6
12,23,19,441,23:19.4,38.84
15,16,23,190,16:23.2,42.67
13,47,38,169,47:38.2,42.49
13,20,0,212,20:00.2,42.19
14,16,30,625,16:30.6,40.35
9,45,43,287,45:43.3,45.01
11,8,46,917,08:46.9,46.63
12,18,20,661,18:20.7,39.3
11,37,10,550,37:10.5,43.17
15,52,3,10,52:03.0,41.99
11,13,8,778,13:08.8,45.95
16,49,28,165,49:28.2,42.53
16,17,3,617,17:03.6,43.34
15,7,36,807,07:36.8,41.98
12,41,30,165,41:30.2,39.42
10,19,30,390,19:30.4,47.22
16,32,33,866,32:33.9,42.66
16,5,34,731,05:34.7,42.9
15,20,23,586,20:23.6,43.98
13,30,23,947,30:23.9,42.01
14,53,10,435,53:10.4,44.21
15,55,12,445,55:12.4,41.18
14,47,33,944,47:33.9,44.64
10,42,20,635,42:20.6,43.82
9,51,36,698,51:36.7,45.9
14,56,3,135,56:03.1,42.48
16,3,54,905,03:54.9,42.16
9,18,5,349,18:05.3,45.48
10,57,9,636,57:09.6,45.6
11,33,44,297,33:44.3,43.46
12,53,11,903,53:11.9,40.84
15,45,13,744,45:13.7,43.27
11,7,12,437,07:12.4,46.46
12,9,14,336,09:14.3,40.74
11,4,17,610,04:17.6,46.58
13,51,56,969,51:57.0,42.39
15,47,26,110,47:26.1,42.74
15,51,37,1,51:37.0,42.15
9,3,18,975,03:19.0,46.06
15,57,36,248,57:36.2,42.31
10,38,22,557,38:22.6,45.82
13,51,51,90,51:51.1,42.22
9,5,59,521,05:59.5,46.66
12,51,8,14,51:08.0,40.19
9,10,12,196,10:12.2,46.17
9,52,41,49,52:41.0,45.42
10,5,52,480,05:52.5,46.19
14,1,7,464,01:07.5,39.19
14,5,28,645,05:28.6,39.02
11,10,34,932,10:34.9,45.95
11,24,20,130,24:20.1,44.19
15,4,34,834,04:34.8,42.57
10,37,1,223,37:01.2,46.36
10,24,56,533,24:56.5,47.53
9,47,4,47,47:04.0,45.67
15,48,59,869,48:59.9,43.06
15,33,21,485,33:21.5,43
15,1,8,903,01:08.9,43.16
10,58,53,219,58:53.2,45.6
13,40,46,539,40:46.5,43.12
16,21,22,276,21:22.3,42.52
14,58,43,745,58:43.7,43.44
11,6,52,888,06:52.9,46.43
15,50,12,800,50:12.8,42.33
14,22,28,223,22:28.2,41.67
11,2,37,608,02:37.6,45.95
16,14,14,892,14:14.9,42.59
10,59,15,108,59:15.1,45.91
10,36,57,112,36:57.1,46.51
9,52,55,780,52:55.8,45.6
12,51,16,247,51:16.2,40.3
16,5,41,32,05:41.0,42.71
11,1,15,207,01:15.2,46.84
10,33,49,858,33:49.9,47.88
11,25,9,414,25:09.4,44.44
9,27,45,9,27:45.0,45.56
9,30,48,764,30:48.8,46.62
9,24,50,240,24:50.2,45.13
11,10,47,688,10:47.7,45.69
12,4,34,989,04:35.0,39.95
11,16,52,377,16:52.4,45.21
11,55,34,659,55:34.7,42.45
11,23,17,940,23:17.9,44.7
10,28,43,46,28:43.0,48.03
13,4,36,427,04:36.4,41.4
9,26,48,209,26:48.2,44.93
16,8,38,692,08:38.7,43.53
15,36,11,43,36:11.0,44.31
15,36,40,494,36:40.5,44.3
12,22,28,82,22:28.1,38.65
13,10,16,424,10:16.4,40.42
14,29,27,644,29:27.6,42.38
13,14,5,384,14:05.4,40.9
12,33,46,150,33:46.2,40.25
16,6,28,229,06:28.2,42.98
12,14,26,918,14:26.9,39.38
12,28,0,705,28:00.7,39.42
13,35,35,287,35:35.3,43.45
9,56,25,424,56:25.4,45.29
10,0,18,864,00:18.9,45.6
10,29,14,813,29:14.8,48.1
11,14,37,965,14:38.0,45.53
13,44,20,492,44:20.5,42.96
11,19,25,636,19:25.6,45.89
11,54,27,593,54:27.6,41.8
16,38,34,977,38:35.0,44.63
11,38,56,608,38:56.6,42.5
15,10,6,986,10:07.0,42.21
11,39,33,29,39:33.0,42.64
16,46,23,215,46:23.2,43.91
13,9,3,444,09:03.4,40.81
16,6,50,107,06:50.1,43.19
13,7,22,912,07:22.9,40.47
9,3,23,676,03:23.7,46.17
16,5,15,193,05:15.2,42.49
14,1,14,208,01:14.2,39.46
9,17,21,396,17:21.4,45.59
9,5,9,195,05:09.2,46.27
11,31,1,142,31:01.1,42.78
14,23,38,69,23:38.1,41.73
9,9,5,660,09:05.7,45.62
13,43,6,305,43:06.3,43.13
12,12,58,559,12:58.6,40.32
15,21,58,303,21:58.3,43.83
16,50,2,90,50:02.1,42.39
15,27,37,60,27:37.1,43.04
16,31,30,664,31:30.7,42.55
14,6,39,179,06:39.2,38.4
9,21,11,904,21:11.9,46.18
13,37,28,341,37:28.3,42.94
14,12,40,198,12:40.2,39.68
10,7,30,235,07:30.2,46.73
16,59,15,652,59:15.7,43.28
12,52,30,988,52:31.0,40.74
11,41,58,93,41:58.1,42.73
15,36,42,186,36:42.2,44.23
15,9,41,296,09:41.3,42.31
16,52,30,80,52:30.1,43.38
15,48,31,221,48:31.2,42.74
11,31,49,131,31:49.1,43
15,52,4,182,52:04.2,42.01
10,36,40,98,36:40.1,46.66
10,19,51,734,19:51.7,46.84
14,49,55,619,49:55.6,43.87
14,2,56,305,02:56.3,38.43
15,8,37,97,08:37.1,42.48
13,52,53,379,52:53.4,42.06
11,32,2,593,32:02.6,43.04
16,3,3,169,03:03.2,42.29
15,8,0,859,08:00.9,42.1
16,45,29,560,45:29.6,44.27
13,43,9,206,43:09.2,43.11
11,25,45,1,25:45.0,44.1
10,5,18,905,05:18.9,46.24
14,13,25,524,13:25.5,40.29
9,0,28,273,00:28.3,46.09
13,23,21,481,23:21.5,42.2
14,17,11,285,17:11.3,40.16
9,57,35,82,57:35.1,45.71
15,30,45,225,30:45.2,43.68
14,53,34,470,53:34.5,44.17
13,44,24,382,44:24.4,43.08
16,45,52,842,45:52.8,43.8
14,3,21,622,03:21.6,38.4
13,26,8,317,26:08.3,42.14
10,47,44,321,47:44.3,45.47
11,53,17,523,53:17.5,41.86
12,24,13,803,24:13.8,39.18
12,27,37,163,27:37.2,39.81
9,31,0,722,31:00.7,46.38
15,24,32,802,24:32.8,44.44
11,30,23,175,30:23.2,42.98
11,4,54,782,04:54.8,46.29
14,1,17,723,01:17.7,39.58
13,41,6,310,41:06.3,42.99
13,7,19,924,07:19.9,40.45
13,46,40,781,46:40.8,43.17
16,53,41,294,53:41.3,44.28
9,38,31,84,38:31.1,44.06
16,28,41,694,28:41.7,41.68
10,23,18,905,23:18.9,47.37
12,26,55,10,26:55.0,40.03
9,42,58,419,42:58.4,44.78
11,25,53,88,25:53.1,44.18
13,58,59,296,58:59.3,39.02
13,57,6,600,57:06.6,39.51
9,45,0,987,45:01.0,45.38
11,28,40,242,28:40.2,43.32
11,38,44,651,38:44.7,42.4
11,32,54,419,32:54.4,43.28
13,33,0,244,33:00.2,42.18
9,23,36,537,23:36.5,45.86
10,51,55,361,51:55.4,45.55
14,42,12,424,42:12.4,43.37
10,34,1,744,34:01.7,47.87
11,22,19,788,22:19.8,44.82
9,55,18,438,55:18.4,45.24
13,21,59,240,21:59.2,42.31
16,11,8,324,11:08.3,43.86
10,42,41,620,42:41.6,44.01
10,32,21,128,32:21.1,47.18
14,31,23,888,31:23.9,42.9
14,5,8,222,05:08.2,38.93
14,8,44,870,08:44.9,39.15
9,51,6,24,51:06.0,46.12
15,16,13,236,16:13.2,42.71
11,17,13,850,17:13.8,45.25
12,44,55,767,44:55.8,39.45
14,43,51,422,43:51.4,43.01
12,16,27,708,16:27.7,39.32
15,55,27,2,55:27.0,40.94
16,2,42,310,02:42.3,42.51
14,45,18,193,45:18.2,43.78
11,39,46,104,39:46.1,42.54
11,46,34,143,46:34.1,42.94
13,31,52,975,31:53.0,42.62
11,29,30,494,29:30.5,43.26
14,29,17,283,29:17.3,42.21
12,53,47,682,53:47.7,40.85
15,6,12,134,06:12.1,42.27
13,24,30,145,24:30.1,42.02
11,20,19,227,20:19.2,45.16
9,0,46,241,00:46.2,46.45
15,6,44,953,06:45.0,42.57
9,23,17,689,23:17.7,45.63
10,28,39,78,28:39.1,48.25
12,12,40,153,12:40.2,40.48
14,15,31,434,15:31.4,39.98
11,40,52,754,40:52.8,42.72
15,13,35,700,13:35.7,43.14
11,13,37,306,13:37.3,46.16
14,56,55,638,56:55.6,43.72
10,50,9,569,50:09.6,46.11
13,57,58,250,57:58.2,39.4
15,29,55,671,29:55.7,43.32
9,45,1,442,45:01.4,45.36
9,6,21,198,06:21.2,46.74
14,8,32,139,08:32.1,38.82
13,13,53,146,13:53.1,40.46
15,24,50,22,24:50.0,43.77
14,20,10,697,20:10.7,41.24
13,27,8,375,27:08.4,41.5
16,22,56,807,22:56.8,42.76
16,22,39,546,22:39.5,42.63
14,49,37,618,49:37.6,44.04
11,54,35,754,54:35.8,41.94
13,44,15,774,44:15.8,43
12,18,21,626,18:21.6,39.26
12,10,29,978,10:30.0,41.06
15,23,10,509,23:10.5,44.49
13,19,55,425,19:55.4,42.08
13,28,57,319,28:57.3,41.81
13,32,54,918,32:54.9,42.29
16,5,26,373,05:26.4,42.68
13,30,46,146,30:46.1,41.84
14,54,14,290,54:14.3,44.09
15,33,39,832,33:39.8,43.15
9,28,27,579,28:27.6,46.05
9,0,17,828,00:17.8,46.19
13,7,37,762,07:37.8,40.36
9,28,23,5,28:23.0,45.89
12,25,43,151,25:43.2,39.27
12,49,29,56,49:29.1,39.7
13,3,0,288,03:00.3,41.64
15,33,58,871,33:58.9,43.33
9,16,3,755,16:03.8,45.69
15,45,35,979,45:36.0,42.88
15,0,1,365,00:01.4,43.48
10,5,20,208,05:20.2,46.32
13,38,50,340,38:50.3,43.52
13,5,49,48,05:49.0,41.05
13,2,34,491,02:34.5,41.37
10,41,9,93,41:09.1,45.24
14,42,40,320,42:40.3,43.12
13,18,3,177,18:03.2,42
11,19,25,230,19:25.2,45.85
11,50,1,828,50:01.8,42.77
10,29,57,78,29:57.1,48.77
16,17,5,154,17:05.2,43.31
9,21,48,637,21:48.6,46.38
14,11,7,662,11:07.7,39.59
11,7,30,716,07:30.7,46.23
13,55,0,936,55:00.9,41.04
12,47,6,823,47:06.8,39.26
14,36,14,795,36:14.8,42.96
10,27,2,549,27:02.5,47.9
14,28,31,302,28:31.3,42.1
12,36,0,53,36:00.1,39.11
16,52,33,831,52:33.8,43.37
14,1,52,347,01:52.3,39.09
11,8,35,290,08:35.3,46.55
16,50,29,813,50:29.8,42.62
16,4,48,385,04:48.4,42.38
15,49,23,827,49:23.8,42.58
14,38,56,486,38:56.5,42.97
16,39,37,720,39:37.7,44.79
16,14,37,793,14:37.8,42.79
10,39,52,496,39:52.5,45.63
16,17,45,15,17:45.0,42.97
14,22,44,378,22:44.4,41.96
13,2,14,878,02:14.9,40.93
16,25,7,177,25:07.2,42.62
13,47,47,929,47:47.9,42.3
9,56,29,378,56:29.4,45.13
11,2,25,632,02:25.6,45.74
16,9,14,109,09:14.1,43.61
14,50,48,935,50:48.9,43.8
14,8,49,436,08:49.4,39.09
16,18,37,740,18:37.7,42.66
14,10,24,227,10:24.2,39.37
15,21,44,503,21:44.5,43.69
13,30,31,705,30:31.7,41.98
10,31,40,891,31:40.9,47.77
12,24,17,902,24:17.9,39.15
15,35,8,796,35:08.8,43.8
12,25,57,20,25:57.0,39.47
10,44,34,349,44:34.3,44.63
11,34,8,820,34:08.8,43.63
12,30,0,500,30:00.5,38.82
